Offensive_Words
arse
arsehead
arsehole
ass
asshole
bastard
bithc
bloody
blood
bollocks
brotherfucker
bugger
bullshit
childfucker
cock
cocksucker
crap
cunt
damn
dick
dickhead
dyke
fatherfucker
frigger
fuck
goddamn
godsdamn
hell
holy shit
horseshit
jesus fuck
kike
motherfucker
nigga
nigra
nigger
piss
prick
pussy
shit
shit ass
shite
sisterfucker
slut
son of a bithc
son of a whore
spastic
twat
wanker
